group,time,IFlu,IRSV
3,65,3.214e-06,0.00016673
3,66,5.515e-06,0.00027326
3,67,9.7637e-06,0.00046246
3,68,1.77e-05,0.00080339
3,69,3.257e-05,0.0014224
3,70,6.0219e-05,0.0025453
3,71,0.00011059,0.004559
3,72,0.00019889,0.0080737
3,73,0.00034386,0.013907
3,74,0.00055887,0.022831
3,75,0.00083279,0.034848
3,76,0.0011142,0.048263
3,77,0.0013283,0.059609
3,78,0.0014287,0.065431
3,79,0.0014247,0.064522
3,80,0.0013563,0.05827
3,81,0.0012582,0.0492
3,82,0.0011475,0.039534
3,83,0.0010281,0.030641
3,84,0.00090007,0.023119
3,85,0.00076467,0.017085
3,86,0.00062672,0.012412
3,87,0.0004935,0.0088847
3,88,0.00037265,0.0062759
3,89,0.00026985,0.0043787
3,90,0.00018775,0.0030211
3,91,0.00012594,0.0020639
3,92,8.1806e-05,0.0013984
3,93,5.1743e-05,0.00094166
3,94,3.2086e-05,0.00063207
3,95,1.9632e-05,0.00042417
3,96,1.1939e-05,0.00028562
3,97,7.2801e-06,0.00019383
3,98,4.4749e-06,0.00013307
3,99,2.8009e-06,9.29e-05
3,100,1.795e-06,6.624e-05
3,101,1.1877e-06,4.8482e-05
3,102,8.1638e-07,3.6594e-05
3,103,5.8668e-07,2.8616e-05
3,104,4.4331e-07,2.3285e-05
3,105,3.5392e-07,1.9793e-05
4,1,3.1795e-05,1.5165e-05
4,2,3.2922e-05,1.3327e-05
4,3,3.4865e-05,1.2299e-05
4,4,3.7797e-05,1.1946e-05
4,5,4.1965e-05,1.2233e-05
4,6,4.7724e-05,1.3223e-05
4,7,5.5581e-05,1.5089e-05
4,8,6.6255e-05,1.8174e-05
4,9,8.0767e-05,2.3075e-05
4,10,0.00010057,3.0832e-05
4,11,0.0001277,4.3228e-05
4,12,0.00016505,6.3404e-05
4,13,0.00021666,9.6883e-05
4,14,0.0002881,0.00015351
4,15,0.00038692,0.00025092
4,16,0.00052302,0.0004205
4,17,0.00070878,0.00071795
4,18,0.00095838,0.0012397
4,19,0.0012856,0.0021472
4,20,0.0016988,0.0036962
4,21,0.0021916,0.0062548
4,22,0.0027301,0.010274
4,23,0.0032421,0.016139
4,24,0.0036221,0.023856
4,25,0.0037679,0.03267
4,26,0.0036372,0.040967
4,27,0.0032794,0.046813
4,28,0.0028052,0.048894
4,29,0.0023224,0.047115
4,30,0.0018955,0.042412
