group,time,susceptible,infected,recovered
4,92,0.50536,0.077842,0.41679
4,93,0.48213,0.067083,0.45079
4,94,0.46893,0.05535,0.47572
4,95,0.46397,0.044279,0.49175
4,96,0.4654,0.034581,0.50002
4,97,0.47158,0.026503,0.50191
4,98,0.48125,0.020016,0.49873
4,99,0.49336,0.014927,0.49171
4,100,0.50712,0.011021,0.48186
4,101,0.52188,0.0080596,0.47006
4,102,0.53721,0.0058481,0.45694
4,103,0.55278,0.0042216,0.443
4,104,0.56833,0.0030301,0.42864
4,105,0.58371,0.0021696,0.41412
5,1,0.56995,0.001528,0.42852
5,2,0.58587,0.0010266,0.41311
5,3,0.60131,0.00068924,0.398
5,4,0.61626,0.00046439,0.38327
5,5,0.63071,0.00031514,0.36898
5,6,0.64464,0.00021641,0.35514
5,7,0.65807,0.00015105,0.34178
5,8,0.67101,0.00010766,0.32889
5,9,0.68346,7.8804e-05,0.31646
5,10,0.69546,5.9444e-05,0.30449
5,11,0.707,4.6467e-05,0.29296
5,12,0.7181,3.7752e-05,0.28186
5,13,0.72879,3.2032e-05,0.27118
5,14,0.73907,2.8481e-05,0.2609
5,15,0.74897,2.6636e-05,0.25101
5,16,0.75848,2.6277e-05,0.24149
5,17,0.76763,2.7397e-05,0.23234
5,18,0.77644,3.021e-05,0.22353
5,19,0.7849,3.5232e-05,0.21507
5,20,0.79303,4.3625e-05,0.20692
5,21,0.80085,5.6248e-05,0.1991
5,22,0.80834,7.6301e-05,0.19158
5,23,0.81552,0.00010979,0.18437
5,24,0.82238,0.00016572,0.17746
5,25,0.82888,0.00026033,0.17086
5,26,0.83498,0.00042218,0.1646
5,27,0.84056,0.00071071,0.15873
5,28,0.84542,0.0012266,0.15335
5,29,0.84919,0.0021531,0.14866
5,30,0.85116,0.0038253,0.14501
5,31,0.85015,0.0067941,0.14306
5,32,0.84413,0.011952,0.14392
5,33,0.83019,0.020446,0.14936
5,34,0.8046,0.033445,0.16195
5,35,0.76438,0.051016,0.1846
5,36,0.70966,0.070875,0.21946
5,37,0.64592,0.088052,0.26603
5,38,0.5822,0.097514,0.32029
5,39,0.52726,0.097081,0.37566
5,40,0.48529,0.089086,0.42563
5,41,0.45745,0.076353,0.4662
5,42,0.44228,0.061893,0.49583
5,43,0.43704,0.048312,0.51465
5,44,0.43914,0.036652,0.5242
5,45,0.44667,0.027217,0.52612
5,46,0.45797,0.019843,0.52219
5,47,0.47181,0.014256,0.51393
5,48,0.48721,0.010097,0.50269
5,49,0.50351,0.0070559,0.48944
5,50,0.52024,0.0048851,0.47488
5,51,0.53702,0.0033405,0.45964
5,52,0.55366,0.0022672,0.44408
5,53,0.56998,0.0015282,0.42849
5,54,0.58589,0.0010267,0.41308
5,55,0.60134,0.00068935,0.39797
5,56,0.61629,0.00046445,0.38325
5,57,0.63073,0.00031519,0.36896
5,58,0.64466,0.00021645,0.35512
5,59,0.65809,0.00015108,0.34176
5,60,0.67103,0.00010768,0.32887
5,61,0.68348,7.882e-05,0.31644
5,62,0.69547,5.9457e-05,0.30447
5,63,0.70701,4.6479e-05,0.29294
5,64,0.71812,3.7764e-05,0.28184
5,65,0.72881,3.2041e-05,0.27116
5,66,0.73909,2.8493e-05,0.26088
5,67,0.74898,2.6648e-05,0.25099
5,68,0.7585,2.6286e-05,0.24148
5,69,0.76765,2.7401e-05,0.23232
5,70,0.77645,3.0207e-05,0.22352
5,71,0.78491,3.5232e-05,0.21505
5,72,0.79304,4.3619e-05,0.20691
5,73,0.80086,5.6234e-05,0.19909
5,74,0.80835,7.6289e-05,0.19157
5,75,0.81553,0.00010979,0.18436
5,76,0.82239,0.00016572,0.17745
5,77,0.82889,0.00026031,0.17085
5,78,0.83499,0.00042215,0.16459
5,79,0.84057,0.00071069,0.15872
5,80,0.84543,0.0012266,0.15334
5,81,0.8492,0.0021531,0.14865
5,82,0.85117,0.0038252,0.145
5,83,0.85015,0.0067942,0.14305
5,84,0.84414,0.011953,0.14391
5,85,0.8302,0.020446,0.14935
5,86,0.80461,0.033447,0.16195
5,87,0.76439,0.051018,0.1846
5,88,0.70967,0.070877,0.21946
5,89,0.64591,0.088057,0.26603
5,90,0.58219,0.097513,0.32029
5,91,0.52726,0.097084,0.37566
5,92,0.48526,0.089101,0.42563
5,93,0.45741,0.076372,0.46621
5,94,0.44224,0.061905,0.49585
5,95,0.437,0.048318,0.51468
5,96,0.4391,0.036655,0.52424
5,97,0.44663,0.027218,0.52615
5,98,0.45793,0.019844,0.52223
5,99,0.47178,0.014257,0.51397
5,100,0.48718,0.010096,0.50273
5,101,0.50348,0.0070555,0.48947
5,102,0.52021,0.0048849,0.47491
5,103,0.537,0.0033401,0.45966
5,104,0.55363,0.0022671,0.4441
5,105,0.56995,0.0015285,0.42852
6,1,0.55816,0.001065,0.44078
6,2,0.5747,0.00067395,0.42462
6,3,0.59071,0.00042497,0.40887
6,4,0.60616,0.00026827,0.39357
6,5,0.62106,0.00017049,0.37877
6,6,0.63541,0.00010944,0.36448
6,7,0.64923,7.1574e-05,0.3507
6,8,0.66254,4.7822e-05,0.33742
6,9,0.67534,3.2877e-05,0.32463
6,10,0.68766,2.3422e-05,0.31232
6,11,0.69951,1.7348e-05,0.30047
6,12,0.71092,1.3456e-05,0.28907
6,13,0.72189,1.094e-05,0.2781
6,14,0.73245,9.375e-06,0.26754
6,15,0.74261,8.5397e-06,0.25738
6,16,0.75238,8.2554e-06,0.24761
6,17,0.76178,8.4827e-06,0.23822
6,18,0.77082,9.3078e-06,0.22917
6,19,0.77951,1.0942e-05,0.22048
6,20,0.78788,1.3724e-05,0.21211
6,21,0.79592,1.8527e-05,0.20407
6,22,0.80364,2.6024e-05,0.19633
